Customer_ID,Total_Sales,Total_Profit,Order_Count,Customer_Tier,Customer_Name
AA-10315,13747.413,447.69049999999964,19,Platinum,Alex Avila
AA-10375,5884.195000000001,677.4774,23,Silver,Allen Armold
AA-10480,17695.589780000002,1516.47518,20,Platinum,Andrew Allen
AA-10645,15343.890699999998,3051.439,36,Platinum,Anna Andreadi
AA-315,2243.256,535.566,7,Silver,Alex Avila
AA-375,654.492,77.44200000000001,8,Bronze,Allen Armold
AA-480,2063.493,554.6129999999999,5,Silver,Andrew Allen
AA-645,1968.3240000000003,-608.3459999999999,11,Silver,Anna Andreadi
AB-10015,20037.4975,3719.488,32,Platinum,Aaron Bergman
AB-10060,18416.5504,4514.0589,32,Platinum,Adam Bellavance
AB-10105,22966.78,6912.6145,33,Platinum,Adrian Barton
AB-10150,13057.294600000001,2064.2143,24,Gold,Aimee Bixby
AB-10165,11649.265000000001,2329.4700000000003,29,Gold,Alan Barnes
AB-10255,10786.7164,-43.238100000000344,31,Gold,Alejandro Ballentine
AB-105,2156.4,-495.3299999999999,7,Silver,Adrian Barton
AB-10600,13318.6631,905.3606999999998,22,Platinum,Ann Blume
AB-15,4607.13,963.7199999999999,5,Silver,Aaron Bergman
AB-150,3143.88,862.1399999999999,4,Silver,Aimee Bixby
AB-165,1399.7759999999998,106.59599999999999,6,Bronze,Alan Barnes
AB-255,4679.502,801.8520000000001,8,Silver,Alejandro Ballentine
AB-60,1770.228,465.918,9,Silver,Adam Bellavance
AB-600,5408.55,964.65,5,Silver,Ann Blume
AC-10420,10607.6947,206.48050000000006,24,Gold,Alyssa Crouse
AC-10450,16126.3904,4105.6042,19,Platinum,Amy Cox
AC-10615,12729.72448,1160.67578,29,Gold,Ann Chong
AC-10660,6255.61908,-998.99732,21,Gold,Anna Chung
AC-420,1689.675,237.555,9,Silver,Alyssa Crouse
AC-450,1026.597,-125.19299999999998,7,Bronze,Amy Cox
AC-615,2298.4320000000002,-280.5479999999999,7,Silver,Ann Chong
AC-660,2676.09,726.87,4,Silver,Anna Chung
AD-10180,17858.5048,2050.7542,27,Platinum,Alan Dominguez
AD-180,681.288,-510.762,3,Bronze,Alan Dominguez
AF-10870,26487.2585,1736.0717,36,Platinum,Art Ferguson
AF-10885,19711.167279999998,2882.91478,35,Platinum,Art Foster
AF-870,1700.082,542.232,9,Silver,Art Ferguson
AF-885,354.99,88.32,2,Bronze,Art Foster
AG-10270,10637.40422,2151.99612,25,Gold,Alejandro Grove
AG-10300,13013.8762,1845.7666000000002,24,Gold,Aleksandra Gannaway
AG-10330,14534.506179999998,929.46708,29,Platinum,Alex Grayson
AG-10390,8453.0096,995.7429999999999,19,Gold,Allen Goldenen
AG-10495,15380.31006,2749.06186,29,Platinum,Andrew Gjertsen
AG-10525,8468.963,36.033700000000096,20,Gold,Andy Gerbode
AG-10675,13023.836,680.7906999999998,21,Gold,Anna Gayman
AG-10765,9824.779499999999,1250.5845,27,Gold,Anthony Garverick
AG-10900,18174.17176,1879.7671599999999,29,Platinum,Arthur Gainer
AG-270,2779.806,450.576,8,Silver,Alejandro Grove
AG-300,1703.3100000000002,-1072.62,6,Silver,Aleksandra Gannaway
AG-330,532.545,77.50500000000001,7,Bronze,Alex Grayson
AG-390,473.1120000000001,-548.478,4,Bronze,Allen Goldenen
AG-495,1003.9920000000001,-106.84800000000001,11,Bronze,Andrew Gjertsen
AG-525,2870.6760000000004,133.356,7,Silver,Andy Gerbode
AG-675,2368.131,242.2710000000001,10,Silver,Anna Gayman
AG-765,1859.5320000000002,-1075.2779999999998,8,Silver,Anthony Garverick
AG-900,1699.47,-146.51999999999998,4,Silver,Arthur Gainer
AH-10030,14439.49784,2601.43304,27,Platinum,Aaron Hawkins
AH-10075,18109.86142,986.0434199999997,34,Platinum,Adam Hart
AH-10120,9927.83588,1705.13728,22,Gold,Adrian Hane
AH-10195,12628.191780000001,158.90888000000012,25,Gold,Alan Haines
AH-10210,20365.74018,4139.66078,34,Platinum,Alan Hwang
AH-10465,8547.83068,611.8889799999997,20,Gold,Amy Hunt
AH-10585,9125.8911,1458.3500999999999,22,Gold,Angele Hood
AH-10690,16276.161119999999,2795.8437199999994,31,Platinum,Anna Häberlin
AH-120,1478.0819999999999,376.242,4,Bronze,Adrian Hane
AH-195,2651.565,-751.1549999999999,9,Silver,Alan Haines
AH-210,3277.11,202.70999999999995,4,Silver,Alan Hwang
AH-30,6320.0160000000005,-150.5039999999998,7,Gold,Aaron Hawkins
AH-465,650.8259999999999,106.446,4,Bronze,Amy Hunt
AH-585,2232.222,151.722,9,Silver,Angele Hood
AH-690,1817.8980000000004,-329.83199999999977,5,Silver,Anna Häberlin
AH-75,3608.34,915.99,8,Silver,Adam Hart
AI-10855,8358.6023,1612.7634,22,Gold,Arianne Irving
AI-855,919.9739999999999,-74.58599999999996,4,Bronze,Arianne Irving
AJ-10780,15186.0672,1784.2461999999998,25,Platinum,Anthony Jacobs
AJ-10795,8887.077,1861.0923999999998,22,Gold,Anthony Johnson
AJ-10945,11087.024,1567.6391999999998,29,Gold,Ashley Jarboe
AJ-10960,8633.59348,1518.6719799999998,17,Gold,Astrea Jones
AJ-780,2570.994,-612.006,12,Silver,Anthony Jacobs
AJ-795,3395.58,617.4900000000001,10,Silver,Anthony Johnson
AJ-945,4860.924,1439.0639999999999,7,Silver,Ashley Jarboe
AJ-960,4629.156000000001,1012.6860000000003,10,Silver,Astrea Jones
AM-10360,16730.3296,2748.4754,33,Platinum,Alice McCarthy
AM-10705,24218.5645,2728.6450999999997,30,Platinum,Anne McFarland
AM-360,2035.8269999999998,229.377,6,Silver,Alice McCarthy
AM-705,1303.77,509.94,6,Bronze,Anne McFarland
AO-10810,14537.7966,1028.3926,27,Platinum,Anthony O'Donnell
AO-810,485.007,64.707,5,Bronze,Anthony O'Donnell
AP-10720,15362.0613,2937.4660999999996,20,Platinum,Anne Pryor
AP-10915,15877.8603,2420.1056,32,Platinum,Arthur Prichep
AP-720,999.699,55.299,6,Bronze,Anne Pryor
AP-915,2668.08,717.5100000000001,5,Silver,Arthur Prichep
AR-10345,14165.796199999999,1683.9278000000002,26,Platinum,Alex Russell
AR-10405,8956.82078,-583.4818199999999,22,Gold,Allen Rosenblatt
AR-10510,14277.88536,3518.96086,29,Platinum,Andrew Roberts
AR-10540,7983.9505,3050.9132999999997,15,Gold,Andy Reiter
AR-10570,9445.64932,1584.83232,18,Gold,Anemone Ratner
AR-10825,15311.035600000001,2828.1048,38,Platinum,Anthony Rawles
AR-345,2301.072,606.732,9,Silver,Alex Russell
AR-405,571.11,31.200000000000017,6,Bronze,Allen Rosenblatt
AR-510,2638.638,42.79800000000003,10,Silver,Andrew Roberts
AR-540,561.6,88.17000000000003,8,Bronze,Andy Reiter
AR-570,2044.278,409.818,9,Silver,Anemone Ratner
AR-825,2028.9119999999998,289.542,7,Silver,Anthony Rawles
AS-10045,12596.294399999999,660.9177999999998,28,Gold,Aaron Smayling
AS-10090,15009.47272,1344.9601199999997,32,Platinum,Adam Shillingsburg
AS-10135,7307.2442,750.2937999999999,19,Gold,Adrian Shami
AS-10225,21366.898699999998,2718.6598,28,Platinum,Alan Schoenberger
AS-10240,9006.66636,630.3841600000001,31,Gold,Alan Shonely
AS-10285,16179.86246,1794.86406,30,Platinum,Alejandro Savely
AS-10630,9815.9395,3194.3633999999997,19,Gold,Ann Steele
AS-135,3978.8099999999995,814.2,5,Silver,Adrian Shami
AS-225,469.51500000000004,-215.025,7,Bronze,Alan Schoenberger
AS-240,1686.5100000000002,545.0699999999999,5,Silver,Alan Shonely
AS-285,4938.462,738.702,13,Silver,Alejandro Savely
AS-45,1616.3339999999998,-291.756,3,Bronze,Aaron Smayling
AS-630,2000.01,-1103.31,11,Silver,Ann Steele
AS-90,435.204,76.314,4,Bronze,Adam Shillingsburg
AT-10435,13654.305499999999,3016.8983000000003,24,Platinum,Alyssa Tate
AT-10735,12984.1049,2516.7079000000003,29,Gold,Annie Thurman
AT-435,1287.9930000000002,-221.36700000000005,12,Bronze,Alyssa Tate
AT-735,403.65000000000003,143.07,5,Bronze,Annie Thurman
AW-10840,13200.25552,1444.8320199999998,25,Platinum,Anthony Witt
AW-10930,10230.958560000001,2585.8819599999997,22,Gold,Arthur Wiediger
AW-840,1947.0000000000002,-228.42000000000004,7,Silver,Anthony Witt
AW-930,782.055,95.085,6,Bronze,Arthur Wiediger
AY-10555,5446.61044,1850.51634,16,Silver,Andy Yotov
AY-555,3096.42,440.4600000000001,11,Silver,Andy Yotov
AZ-10750,9639.801,1606.5633,18,Gold,Annie Zypern
AZ-750,2231.277,-682.203,10,Silver,Annie Zypern
BB-10990,9064.5327,177.0665999999999,30,Gold,Barry Blumstein
BB-11545,15797.57188,1686.6588799999995,26,Platinum,Brenda Bowman
BB-1545,207.228,52.187999999999995,5,Bronze,Brenda Bowman
BB-990,822.288,122.358,7,Bronze,Barry Blumstein
BC-11125,14789.447,2755.6784000000002,28,Platinum,Becky Castell
BC-1125,396.04200000000003,-269.71799999999996,6,Bronze,Becky Castell
BD-11320,13390.267,1409.6197,32,Platinum,Bill Donatelli
BD-11500,13089.849500000002,2412.359,27,Gold,Bradley Drucker
BD-11560,9356.77974,1909.86374,19,Gold,Brendan Dodson
BD-11605,9202.66214,1201.17744,19,Gold,Brian Dahlen
BD-11620,7849.00002,448.50691999999975,25,Gold,Brian DeCherney
BD-11635,11230.6983,1303.6163,25,Gold,Brian Derr
BD-11725,10877.827000000001,1574.1361,30,Gold,Bruce Degenhardt
BD-11770,10168.32526,2397.81426,26,Gold,Bryan Davis
BD-1320,1885.05,213.06,6,Silver,Bill Donatelli
BD-1500,52.04700000000001,-31.293,3,Bronze,Bradley Drucker
BD-1560,1564.02,114.83999999999997,5,Bronze,Brendan Dodson
BD-1605,689.6399999999999,224.49,5,Bronze,Brian Dahlen
BD-1620,2919.597,535.917,11,Silver,Brian DeCherney
BD-1635,5689.263000000001,1488.693,9,Silver,Brian Derr
BD-1725,5078.400000000001,901.02,13,Silver,Bruce Degenhardt
BD-1770,3405.0660000000003,-869.5439999999998,5,Silver,Bryan Davis
BE-11335,27158.0184,7790.6963000000005,37,Platinum,Bill Eplett
BE-11410,16552.06996,3398.09706,30,Platinum,Bobby Elias
BE-11455,18178.5333,639.5220999999997,27,Platinum,Brad Eason
BE-1335,1321.149,-380.691,5,Bronze,Bill Eplett
BE-1410,1859.859,391.059,7,Silver,Bobby Elias
BE-1455,1340.3100000000002,460.10999999999996,2,Bronze,Brad Eason
BF-1005,732.033,176.433,2,Bronze,Barry Franz
BF-1020,3006.996,-193.13399999999987,7,Silver,Barry Französisch
BF-1080,3808.17,896.9399999999999,6,Silver,Bart Folk
BF-10975,8104.779200000001,1217.0095999999999,22,Gold,Barbara Fisher
BF-11005,23347.838659999998,939.2375599999998,25,Platinum,Barry Franz
BF-11020,10201.2813,1133.2553,24,Gold,Barry Französisch
BF-11080,10134.5617,1187.5689,21,Gold,Bart Folk
BF-11170,22314.84044,3859.22114,31,Platinum,Ben Ferrer
BF-11215,12968.9385,878.9098000000001,27,Gold,Benjamin Farhat
BF-11275,9578.59864,565.0688400000001,23,Gold,Beth Fritzler
BF-1170,904.9200000000001,275.88,6,Bronze,Ben Ferrer
BF-1215,398.91900000000004,-237.59099999999995,5,Bronze,Benjamin Farhat
BF-1275,1009.974,96.38400000000001,7,Bronze,Beth Fritzler
BF-975,1730.2320000000002,616.7220000000001,8,Silver,Barbara Fisher
BG-1035,124.416,-219.80399999999992,1,Bronze,Barry Gonzalez
BG-11035,19899.147399999998,1749.982,33,Platinum,Barry Gonzalez
BG-11695,10723.32038,568.9698799999998,19,Gold,Brooke Gillingham
BG-11740,14689.3425,2084.9244,24,Platinum,Bruce Geld
BG-1695,488.85,-151.65,5,Bronze,Brooke Gillingham
BG-1740,692.454,-658.2959999999999,4,Bronze,Bruce Geld
BH-11710,23537.335,3243.9437999999996,31,Platinum,Brosina Hoffman
BH-1710,4583.286,1632.9959999999999,10,Silver,Brosina Hoffman
BK-11260,13294.68736,2389.4549599999996,27,Platinum,Berenike Kampe
BK-1260,291.56399999999996,58.22400000000001,6,Bronze,Berenike Kampe
BM-11140,25312.292699999998,-1140.6354000000022,29,Platinum,Becky Martin
BM-1140,1857.69,43.70999999999988,6,Silver,Becky Martin
BM-11575,10351.33308,-189.53732,25,Gold,Brendan Murry
BM-11650,14920.99608,3927.16918,24,Platinum,Brian Moss
BM-11785,18446.8529,2036.6847999999998,36,Platinum,Bryan Mills
BM-1575,1703.9820000000002,471.672,9,Silver,Brendan Murry
BM-1650,2537.1059999999998,458.67600000000004,8,Silver,Brian Moss
BM-1785,2244.342,475.932,9,Silver,Bryan Mills
BN-11470,23378.103880000002,1548.04098,29,Platinum,Brad Norvell
BN-11515,10272.22552,2018.69692,23,Gold,Bradley Nguyen
BN-1470,2823.852,576.0120000000001,7,Silver,Brad Norvell
BN-1515,2606.802,525.3720000000001,8,Silver,Bradley Nguyen
BO-11350,7476.2547,555.1936999999998,20,Gold,Bill Overfelt
BO-11425,12356.58552,1904.89772,21,Gold,Bobby Odegard
BO-1350,616.236,-139.97400000000002,6,Bronze,Bill Overfelt
BO-1425,2671.257,651.9269999999999,8,Silver,Bobby Odegard
BP-1050,4981.5419999999995,1245.8819999999998,9,Silver,Barry Pond
BP-1095,1759.6680000000001,384.828,6,Silver,Bart Pistole
BP-11050,5403.78676,845.07976,21,Silver,Barry Pond
BP-11095,8327.8696,599.4306999999998,32,Gold,Bart Pistole
